//星级|名称
Star_Lv1|一星
skilldescription_3200014_4|对目标造成一次伤害，一段时间内目标装甲降低
skilldescription_3200014_5|对目标造成一次伤害，一段时间内目标装甲降低
skilldescription_3200014_6|对目标造成一次伤害，一段时间内目标装甲降低
skilldescription_3200014_7|对目标造成一次伤害，一段时间内目标装甲降低
skilldescription_3200014_8|对目标造成一次伤害，一段时间内目标装甲降低
skilldescription_3200014_9|对目标造成一次伤害，一段时间内目标装甲降低
skilldescription_3200014_10|对目标造成一次伤害，一段时间内目标装甲降低
skilldescription_3200014_11|对目标造成一次伤害，一段时间内目标装甲降低
skilldescription_3200014_12|对目标造成一次伤害，一段时间内目标装甲降低
skilldescription_3200014_13|对目标造成一次伤害，一段时间内目标装甲降低
skilldescription_3200014_14|对目标造成一次伤害，一段时间内目标装甲降低
skilldescription_3200014_15|对目标造成一次伤害，一段时间内目标装甲降低
skilldescription_3204001_1|对目标造成一次伤害
skilldescription_3204001_2|对目标造成一次伤害
skilldescription_3204001_3|对目标造成一次伤害
skilldescription_3204001_4|对目标造成一次伤害
skilldescription_3204001_5|对目标造成一次伤害
skilldescription_3204001_6|对目标造成一次伤害
skilldescription_3204001_7|对目标造成一次伤害
skilldescription_3204001_8|对目标造成一次伤害
skilldescription_3204001_9|对目标造成一次伤害
skilldescription_3204001_10|对目标造成一次伤害
skilldescription_3204001_11|对目标造成一次伤害
skilldescription_3204001_12|对目标造成一次伤害
skilldescription_3204001_13|对目标造成一次伤害
skilldescription_3204001_14|对目标造成一次伤害
skilldescription_3204001_15|对目标造成一次伤害
skilldescription_3204002_1|对目标连续造成两次伤害
skilldescription_3204002_2|对目标连续造成两次伤害
skilldescription_3204002_3|对目标连续造成两次伤害
skilldescription_3204002_4|对目标连续造成两次伤害
skilldescription_3204002_5|对目标连续造成两次伤害
skilldescription_3204002_6|对目标连续造成两次伤害
skilldescription_3204002_7|对目标连续造成两次伤害
skilldescription_3204002_8|对目标连续造成两次伤害
skilldescription_3204002_9|对目标连续造成两次伤害
skilldescription_3204002_10|对目标连续造成两次伤害
skilldescription_3204002_11|对目标连续造成两次伤害
skilldescription_3204002_12|对目标连续造成两次伤害
skilldescription_3204002_13|对目标连续造成两次伤害
skilldescription_3204002_14|对目标连续造成两次伤害
skilldescription_3204002_15|对目标连续造成两次伤害
skilldescription_3204003_1|对目标造成一次伤害，一段时间内降低目标爆炸防御
skilldescription_3204003_2|对目标造成一次伤害，一段时间内降低目标爆炸防御
skilldescription_3204003_3|对目标造成一次伤害，一段时间内降低目标爆炸防御
skilldescription_3204003_4|对目标造成一次伤害，一段时间内降低目标爆炸防御
skilldescription_3204003_5|对目标造成一次伤害，一段时间内降低目标爆炸防御
skilldescription_3204003_6|对目标造成一次伤害，一段时间内降低目标爆炸防御
skilldescription_3204003_7|对目标造成一次伤害，一段时间内降低目标爆炸防御
skilldescription_3204003_8|对目标造成一次伤害，一段时间内降低目标爆炸防御
skilldescription_3204003_9|对目标造成一次伤害，一段时间内降低目标爆炸防御
skilldescription_3204003_10|对目标造成一次伤害，一段时间内降低目标爆炸防御
skilldescription_3204003_11|对目标造成一次伤害，一段时间内降低目标爆炸防御
skilldescription_3204003_12|对目标造成一次伤害，一段时间内降低目标爆炸防御
skilldescription_3204003_13|对目标造成一次伤害，一段时间内降低目标爆炸防御
skilldescription_3204003_14|对目标造成一次伤害，一段时间内降低目标爆炸防御
skilldescription_3204003_15|对目标造成一次伤害，一段时间内降低目标爆炸防御
skilldescription_3204004_1|对目标造成一次伤害，一段时间内降低目标穿透防御
skilldescription_3204004_2|对目标造成一次伤害，一段时间内降低目标穿透防御
skilldescription_3204004_3|对目标造成一次伤害，一段时间内降低目标穿透防御
skilldescription_3204004_4|对目标造成一次伤害，一段时间内降低目标穿透防御
skilldescription_3204004_5|对目标造成一次伤害，一段时间内降低目标穿透防御
skilldescription_3204004_6|对目标造成一次伤害，一段时间内降低目标穿透防御
skilldescription_3204004_7|对目标造成一次伤害，一段时间内降低目标穿透防御
skilldescription_3204004_8|对目标造成一次伤害，一段时间内降低目标穿透防御
skilldescription_3204004_9|对目标造成一次伤害，一段时间内降低目标穿透防御
skilldescription_3204004_10|对目标造成一次伤害，一段时间内降低目标穿透防御
skilldescription_3204004_11|对目标造成一次伤害，一段时间内降低目标穿透防御
skilldescription_3204004_12|对目标造成一次伤害，一段时间内降低目标穿透防御
skilldescription_3204004_13|对目标造成一次伤害，一段时间内降低目标穿透防御
skilldescription_3204004_14|对目标造成一次伤害，一段时间内降低目标穿透防御
skilldescription_3204004_15|对目标造成一次伤害，一段时间内降低目标穿透防御
skilldescription_3204005_1|对目标造成一次伤害，一段时间内降低目标燃烧防御
skilldescription_3204005_2|对目标造成一次伤害，一段时间内降低目标燃烧防御
skilldescription_3204005_3|对目标造成一次伤害，一段时间内降低目标燃烧防御
skilldescription_3204005_4|对目标造成一次伤害，一段时间内降低目标燃烧防御
skilldescription_3204005_5|对目标造成一次伤害，一段时间内降低目标燃烧防御
skilldescription_3204005_6|对目标造成一次伤害，一段时间内降低目标燃烧防御
skilldescription_3204005_7|对目标造成一次伤害，一段时间内降低目标燃烧防御
skilldescription_3204005_8|对目标造成一次伤害，一段时间内降低目标燃烧防御
skilldescription_3204005_9|对目标造成一次伤害，一段时间内降低目标燃烧防御
skilldescription_3204005_10|对目标造成一次伤害，一段时间内降低目标燃烧防御
skilldescription_3204005_11|对目标造成一次伤害，一段时间内降低目标燃烧防御
skilldescription_3204005_12|对目标造成一次伤害，一段时间内降低目标燃烧防御
skilldescription_3204005_13|对目标造成一次伤害，一段时间内降低目标燃烧防御
skilldescription_3204005_14|对目标造成一次伤害，一段时间内降低目标燃烧防御
skilldescription_3204005_15|对目标造成一次伤害，一段时间内降低目标燃烧防御
skilldescription_3204006_1|对目标造成一次伤害，一段时间内目标闪避降低
skilldescription_3204006_2|对目标造成一次伤害，一段时间内目标闪避降低
skilldescription_3204006_3|对目标造成一次伤害，一段时间内目标闪避降低
skilldescription_3204006_4|对目标造成一次伤害，一段时间内目标闪避降低
skilldescription_3204006_5|对目标造成一次伤害，一段时间内目标闪避降低
skilldescription_3204006_6|对目标造成一次伤害，一段时间内目标闪避降低
skilldescription_3204006_7|对目标造成一次伤害，一段时间内目标闪避降低
skilldescription_3204006_8|对目标造成一次伤害，一段时间内目标闪避降低
skilldescription_3204006_9|对目标造成一次伤害，一段时间内目标闪避降低
skilldescription_3204006_10|对目标造成一次伤害，一段时间内目标闪避降低
skilldescription_3204006_11|对目标造成一次伤害，一段时间内目标闪避降低
skilldescription_3204006_12|对目标造成一次伤害，一段时间内目标闪避降低
skilldescription_3204006_13|对目标造成一次伤害，一段时间内目标闪避降低
skilldescription_3204006_14|对目标造成一次伤害，一段时间内目标闪避降低
skilldescription_3204006_15|对目标造成一次伤害，一段时间内目标闪避降低
skilldescription_3204007_1|对目标连续造成两次伤害，一段时间内降低目标闪避
skilldescription_3204007_2|对目标连续造成两次伤害，一段时间内降低目标闪避
skilldescription_3204007_3|对目标连续造成两次伤害，一段时间内降低目标闪避
skilldescription_3204007_4|对目标连续造成两次伤害，一段时间内降低目标闪避
skilldescription_3204007_5|对目标连续造成两次伤害，一段时间内降低目标闪避
skilldescription_3204007_6|对目标连续造成两次伤害，一段时间内降低目标闪避
skilldescription_3204007_7|对目标连续造成两次伤害，一段时间内降低目标闪避
skilldescription_3204007_8|对目标连续造成两次伤害，一段时间内降低目标闪避
skilldescription_3204007_9|对目标连续造成两次伤害，一段时间内降低目标闪避
skilldescription_3204007_10|对目标连续造成两次伤害，一段时间内降低目标闪避
skilldescription_3204007_11|对目标连续造成两次伤害，一段时间内降低目标闪避
skilldescription_3204007_12|对目标连续造成两次伤害，一段时间内降低目标闪避
skilldescription_3204007_13|对目标连续造成两次伤害，一段时间内降低目标闪避
skilldescription_3204007_14|对目标连续造成两次伤害，一段时间内降低目标闪避
skilldescription_3204007_15|对目标连续造成两次伤害，一段时间内降低目标闪避
skilldescription_3204008_1|对目标连续造成一次伤害，一段时间内持续受到伤害
skilldescription_3204008_2|对目标连续造成一次伤害，一段时间内持续受到伤害
skilldescription_3204008_3|对目标连续造成一次伤害，一段时间内持续受到伤害
skilldescription_3204008_4|对目标连续造成一次伤害，一段时间内持续受到伤害
skilldescription_3204008_5|对目标连续造成一次伤害，一段时间内持续受到伤害
skilldescription_3204008_6|对目标连续造成一次伤害，一段时间内持续受到伤害
skilldescription_3204008_7|对目标连续造成一次伤害，一段时间内持续受到伤害
skilldescription_3204008_8|对目标连续造成一次伤害，一段时间内持续受到伤害
skilldescription_3204008_9|对目标连续造成一次伤害，一段时间内持续受到伤害
skilldescription_3204008_10|对目标连续造成一次伤害，一段时间内持续受到伤害
skilldescription_3204008_11|对目标连续造成一次伤害，一段时间内持续受到伤害
skilldescription_3204008_12|对目标连续造成一次伤害，一段时间内持续受到伤害
skilldescription_3204008_13|对目标连续造成一次伤害，一段时间内持续受到伤害
skilldescription_3204008_14|对目标连续造成一次伤害，一段时间内持续受到伤害
skilldescription_3204008_15|对目标连续造成一次伤害，一段时间内持续受到伤害
skilldescription_3205001_1|对圆形范围内目标造成一次伤害
skilldescription_3205001_2|对圆形范围内目标造成一次伤害
skilldescription_3205001_3|对圆形范围内目标造成一次伤害
skilldescription_3205001_4|对圆形范围内目标造成一次伤害
skilldescription_3205001_5|对圆形范围内目标造成一次伤害
skilldescription_3205001_6|对圆形范围内目标造成一次伤害
skilldescription_3205001_7|对圆形范围内目标造成一次伤害
skilldescription_3205001_8|对圆形范围内目标造成一次伤害
skilldescription_3205001_9|对圆形范围内目标造成一次伤害
skilldescription_3205001_10|对圆形范围内目标造成一次伤害
skilldescription_3205001_11|对圆形范围内目标造成一次伤害
skilldescription_3205001_12|对圆形范围内目标造成一次伤害
skilldescription_3205001_13|对圆形范围内目标造成一次伤害
skilldescription_3205001_14|对圆形范围内目标造成一次伤害
skilldescription_3205001_15|对圆形范围内目标造成一次伤害
skilldescription_3205002_1|对圆形范围内目标造成两次伤害
skilldescription_3205002_2|对圆形范围内目标造成两次伤害
skilldescription_3205002_3|对圆形范围内目标造成两次伤害
skilldescription_3205002_4|对圆形范围内目标造成两次伤害
skilldescription_3205002_5|对圆形范围内目标造成两次伤害
skilldescription_3205002_6|对圆形范围内目标造成两次伤害
skilldescription_3205002_7|对圆形范围内目标造成两次伤害
skilldescription_3205002_8|对圆形范围内目标造成两次伤害
skilldescription_3205002_9|对圆形范围内目标造成两次伤害
skilldescription_3205002_10|对圆形范围内目标造成两次伤害
skilldescription_3205002_11|对圆形范围内目标造成两次伤害
skilldescription_3205002_12|对圆形范围内目标造成两次伤害
skilldescription_3205002_13|对圆形范围内目标造成两次伤害
skilldescription_3205002_14|对圆形范围内目标造成两次伤害
skilldescription_3205002_15|对圆形范围内目标造成两次伤害
skilldescription_3205003_1|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205003_2|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205003_3|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205003_4|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205003_5|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205003_6|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205003_7|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205003_8|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205003_9|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205003_10|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205003_11|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205003_12|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205003_13|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205003_14|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205003_15|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205004_1|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205004_2|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205004_3|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205004_4|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205004_5|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205004_6|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205004_7|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205004_8|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205004_9|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205004_10|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205004_11|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205004_12|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205004_13|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205004_14|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205004_15|对圆形范围内目标造成一次伤害，一段时间内目标持续受到伤害
skilldescription_3205005_1|对圆形范围内目标造成一次伤害，一段时间降低目命中
skilldescription_3205005_2|对圆形范围内目标造成一次伤害，一段时间降低目命中
skilldescription_3205005_3|对圆形范围内目标造成一次伤害，一段时间降低目命中
skilldescription_3205005_4|对圆形范围内目标造成一次伤害，一段时间降低目命中
skilldescription_3205005_5|对圆形范围内目标造成一次伤害，一段时间降低目命中
skilldescription_3205005_6|对圆形范围内目标造成一次伤害，一段时间降低目命中
skilldescription_3205005_7|对圆形范围内目标造成一次伤害，一段时间降低目命中
skilldescription_3205005_8|对圆形范围内目标造成一次伤害，一段时间降低目命中
skilldescription_3205005_9|对圆形范围内目标造成一次伤害，一段时间降低目命中
skilldescription_3205005_10|对圆形范围内目标造成一次伤害，一段时间降低目命中
skilldescription_3205005_11|对圆形范围内目标造成一次伤害，一段时间降低目命中
skilldescription_3205005_12|对圆形范围内目标造成一次伤害，一段时间降低目命中
skilldescription_3205005_13|对圆形范围内目标造成一次伤害，一段时间降低目命中
skilldescription_3205005_14|对圆形范围内目标造成一次伤害，一段时间降低目命中
skilldescription_3205005_15|对圆形范围内目标造成一次伤害，一段时间降低目命中
skilldescription_3205006_1|对圆形范围内目标造成一次伤害，一段时间降低目标暴击
skilldescription_3205006_2|对圆形范围内目标造成一次伤害，一段时间降低目标暴击
skilldescription_3205006_3|对圆形范围内目标造成一次伤害，一段时间降低目标暴击
skilldescription_3205006_4|对圆形范围内目标造成一次伤害，一段时间降低目标暴击
skilldescription_3205006_5|对圆形范围内目标造成一次伤害，一段时间降低目标暴击
skilldescription_3205006_6|对圆形范围内目标造成一次伤害，一段时间降低目标暴击
skilldescription_3205006_7|对圆形范围内目标造成一次伤害，一段时间降低目标暴击
skilldescription_3205006_8|对圆形范围内目标造成一次伤害，一段时间降低目标暴击
skilldescription_3205006_9|对圆形范围内目标造成一次伤害，一段时间降低目标暴击
skilldescription_3205006_10|对圆形范围内目标造成一次伤害，一段时间降低目标暴击
skilldescription_3205006_11|对圆形范围内目标造成一次伤害，一段时间降低目标暴击
skilldescription_3205006_12|对圆形范围内目标造成一次伤害，一段时间降低目标暴击
skilldescription_3205006_13|对圆形范围内目标造成一次伤害，一段时间降低目标暴击
skilldescription_3205006_14|对圆形范围内目标造成一次伤害，一段时间降低目标暴击
skilldescription_3205006_15|对圆形范围内目标造成一次伤害，一段时间降低目标暴击
skillname_3100001|运输控制Ⅰ
skillname_3100002|运输控制Ⅱ
skillname_3100003|发射控制Ⅰ
skillname_3100004|发射控制Ⅱ
skillname_3100005|发射控制Ⅲ
skillname_3100006|发射控制Ⅳ
skillname_3100007|载体控制Ⅰ
skillname_3100008|载体控制Ⅱ
skillname_3100009|载体控制Ⅲ
skillname_3100010|载体控制Ⅳ
skillname_3100011|数据控制Ⅰ
skillname_3100012|数据控制Ⅱ
skillname_3100013|数据控制Ⅲ
skillname_3100014|数据控制Ⅳ
skillname_3104001|发射控制Ⅰ
skillname_3104002|发射控制Ⅱ
skillname_3104003|发射控制Ⅲ
skillname_3104004|辨识控制Ⅰ
skillname_3104005|辨识控制Ⅱ
skillname_3104006|辨识控制Ⅲ
skillname_3104007|数据控制Ⅰ
skillname_3104008|数据控制Ⅱ
skillname_3105001|发射控制
skillname_3105002|辨识控制Ⅰ
skillname_3105003|辨识控制Ⅱ
skillname_3105004|数据控制Ⅰ
skillname_3105005|数据控制Ⅱ
skillname_3105006|数据控制Ⅲ
skillname_3200001|杀伤榴弹Ⅰ
skillname_3200002|杀伤榴弹Ⅱ
skillname_3200003|碎甲弹Ⅰ
skillname_3200004|碎甲弹Ⅱ
skillname_3200005|碎甲弹Ⅲ
skillname_3200006|破甲弹Ⅰ
skillname_3200007|破甲弹Ⅱ
skillname_3200008|破甲弹Ⅲ
skillname_3200009|闪光弹Ⅰ
skillname_3200010|烟雾弹Ⅰ
skillname_3200011|穿甲弹Ⅰ
skillname_3200012|穿甲弹Ⅱ
skillname_3200013|防爆榴弹Ⅰ
skillname_3200014|防爆榴弹Ⅱ
skillname_3204001|爆破榴弹Ⅰ
skillname_3204002|爆破榴弹Ⅱ
skillname_3204003|破甲弹Ⅰ
skillname_3204004|破甲弹Ⅱ
skillname_3204005|破甲弹Ⅲ
skillname_3204006|烟雾弹Ⅱ
skillname_3204007|烟雾弹Ⅲ
skillname_3204008|小型毒气弹
skillname_3205001|曳光弹Ⅰ
skillname_3205002|曳光弹Ⅱ
skillname_3205003|燃烧弹
skillname_3205004|毒气弹
skillname_3205005|穿甲弹Ⅲ
skillname_3205006|穿甲弹Ⅳ
skilldescription_3100001_1|攻击目标一次，一段时间内自身持续回复
skilldescription_3100001_2|攻击目标一次，一段时间内自身持续回复
skilldescription_3100001_3|攻击目标一次，一段时间内自身持续回复
skilldescription_3100001_4|攻击目标一次，一段时间内自身持续回复
skilldescription_3100001_5|攻击目标一次，一段时间内自身持续回复
skilldescription_3100001_6|攻击目标一次，一段时间内自身持续回复
skilldescription_3100001_7|攻击目标一次，一段时间内自身持续回复
skilldescription_3100001_8|攻击目标一次，一段时间内自身持续回复
skilldescription_3100001_9|攻击目标一次，一段时间内自身持续回复
skilldescription_3100001_10|攻击目标一次，一段时间内自身持续回复
skilldescription_3100001_11|攻击目标一次，一段时间内自身持续回复
skilldescription_3100001_12|攻击目标一次，一段时间内自身持续回复
skilldescription_3100001_13|攻击目标一次，一段时间内自身持续回复
skilldescription_3100001_14|攻击目标一次，一段时间内自身持续回复
skilldescription_3100001_15|攻击目标一次，一段时间内自身持续回复
skilldescription_3100002_1|攻击目标一次，快速回复两次耐久
skilldescription_3100002_2|攻击目标一次，快速回复两次耐久
skilldescription_3100002_3|攻击目标一次，快速回复两次耐久
skilldescription_3100002_4|攻击目标一次，快速回复两次耐久
skilldescription_3100002_5|攻击目标一次，快速回复两次耐久
skilldescription_3100002_6|攻击目标一次，快速回复两次耐久
skilldescription_3100002_7|攻击目标一次，快速回复两次耐久
skilldescription_3100002_8|攻击目标一次，快速回复两次耐久
skilldescription_3100002_9|攻击目标一次，快速回复两次耐久
skilldescription_3100002_10|攻击目标一次，快速回复两次耐久
skilldescription_3100002_11|攻击目标一次，快速回复两次耐久
skilldescription_3100002_12|攻击目标一次，快速回复两次耐久
skilldescription_3100002_13|攻击目标一次，快速回复两次耐久
skilldescription_3100002_14|攻击目标一次，快速回复两次耐久
skilldescription_3100002_15|攻击目标一次，快速回复两次耐久
skilldescription_3100003_1|攻击目标一次，一段时间内提升自身爆炸伤害
skilldescription_3100003_2|攻击目标一次，一段时间内提升自身爆炸伤害
skilldescription_3100003_3|攻击目标一次，一段时间内提升自身爆炸伤害
skilldescription_3100003_4|攻击目标一次，一段时间内提升自身爆炸伤害
skilldescription_3100003_5|攻击目标一次，一段时间内提升自身爆炸伤害
skilldescription_3100003_6|攻击目标一次，一段时间内提升自身爆炸伤害
skilldescription_3100003_7|攻击目标一次，一段时间内提升自身爆炸伤害
skilldescription_3100003_8|攻击目标一次，一段时间内提升自身爆炸伤害
skilldescription_3100003_9|攻击目标一次，一段时间内提升自身爆炸伤害
skilldescription_3100003_10|攻击目标一次，一段时间内提升自身爆炸伤害
skilldescription_3100003_11|攻击目标一次，一段时间内提升自身爆炸伤害
skilldescription_3100003_12|攻击目标一次，一段时间内提升自身爆炸伤害
skilldescription_3100003_13|攻击目标一次，一段时间内提升自身爆炸伤害
skilldescription_3100003_14|攻击目标一次，一段时间内提升自身爆炸伤害
skilldescription_3100003_15|攻击目标一次，一段时间内提升自身爆炸伤害
skilldescription_3100004_1|攻击目标一次，一段时间内提升自身穿透伤害
skilldescription_3100004_2|攻击目标一次，一段时间内提升自身穿透伤害
skilldescription_3100004_3|攻击目标一次，一段时间内提升自身穿透伤害
skilldescription_3100004_4|攻击目标一次，一段时间内提升自身穿透伤害
skilldescription_3100004_5|攻击目标一次，一段时间内提升自身穿透伤害
skilldescription_3100004_6|攻击目标一次，一段时间内提升自身穿透伤害
skilldescription_3100004_7|攻击目标一次，一段时间内提升自身穿透伤害
skilldescription_3100004_8|攻击目标一次，一段时间内提升自身穿透伤害
skilldescription_3100004_9|攻击目标一次，一段时间内提升自身穿透伤害
skilldescription_3100004_10|攻击目标一次，一段时间内提升自身穿透伤害
skilldescription_3100004_11|攻击目标一次，一段时间内提升自身穿透伤害
skilldescription_3100004_12|攻击目标一次，一段时间内提升自身穿透伤害
skilldescription_3100004_13|攻击目标一次，一段时间内提升自身穿透伤害
skilldescription_3100004_14|攻击目标一次，一段时间内提升自身穿透伤害
skilldescription_3100004_15|攻击目标一次，一段时间内提升自身穿透伤害
skilldescription_3100005_1|攻击目标一次，一段时间内提升自身燃烧伤害
skilldescription_3100005_2|攻击目标一次，一段时间内提升自身燃烧伤害
skilldescription_3100005_3|攻击目标一次，一段时间内提升自身燃烧伤害
skilldescription_3100005_4|攻击目标一次，一段时间内提升自身燃烧伤害
skilldescription_3100005_5|攻击目标一次，一段时间内提升自身燃烧伤害
skilldescription_3100005_6|攻击目标一次，一段时间内提升自身燃烧伤害
skilldescription_3100005_7|攻击目标一次，一段时间内提升自身燃烧伤害
skilldescription_3100005_8|攻击目标一次，一段时间内提升自身燃烧伤害
skilldescription_3100005_9|攻击目标一次，一段时间内提升自身燃烧伤害
skilldescription_3100005_10|攻击目标一次，一段时间内提升自身燃烧伤害
skilldescription_3100005_11|攻击目标一次，一段时间内提升自身燃烧伤害
skilldescription_3100005_12|攻击目标一次，一段时间内提升自身燃烧伤害
skilldescription_3100005_13|攻击目标一次，一段时间内提升自身燃烧伤害
skilldescription_3100005_14|攻击目标一次，一段时间内提升自身燃烧伤害
skilldescription_3100005_15|攻击目标一次，一段时间内提升自身燃烧伤害
skilldescription_3100006_1|攻击目标一次，一段时间内提升自身伤害
skilldescription_3100006_2|攻击目标一次，一段时间内提升自身伤害
skilldescription_3100006_3|攻击目标一次，一段时间内提升自身伤害
skilldescription_3100006_4|攻击目标一次，一段时间内提升自身伤害
skilldescription_3100006_5|攻击目标一次，一段时间内提升自身伤害
skilldescription_3100006_6|攻击目标一次，一段时间内提升自身伤害
skilldescription_3100006_7|攻击目标一次，一段时间内提升自身伤害
skilldescription_3100006_8|攻击目标一次，一段时间内提升自身伤害
skilldescription_3100006_9|攻击目标一次，一段时间内提升自身伤害
skilldescription_3100006_10|攻击目标一次，一段时间内提升自身伤害
skilldescription_3100006_11|攻击目标一次，一段时间内提升自身伤害
skilldescription_3100006_12|攻击目标一次，一段时间内提升自身伤害
skilldescription_3100006_13|攻击目标一次，一段时间内提升自身伤害
skilldescription_3100006_14|攻击目标一次，一段时间内提升自身伤害
skilldescription_3100006_15|攻击目标一次，一段时间内提升自身伤害
skilldescription_3100007_1|攻击目标一次，一段时间内提升自身爆炸防御
skilldescription_3100007_2|攻击目标一次，一段时间内提升自身爆炸防御
skilldescription_3100007_3|攻击目标一次，一段时间内提升自身爆炸防御
skilldescription_3100007_4|攻击目标一次，一段时间内提升自身爆炸防御
skilldescription_3100007_5|攻击目标一次，一段时间内提升自身爆炸防御
skilldescription_3100007_6|攻击目标一次，一段时间内提升自身爆炸防御
skilldescription_3100007_7|攻击目标一次，一段时间内提升自身爆炸防御
skilldescription_3100007_8|攻击目标一次，一段时间内提升自身爆炸防御
skilldescription_3100007_9|攻击目标一次，一段时间内提升自身爆炸防御
skilldescription_3100007_10|攻击目标一次，一段时间内提升自身爆炸防御
skilldescription_3100007_11|攻击目标一次，一段时间内提升自身爆炸防御
skilldescription_3100007_12|攻击目标一次，一段时间内提升自身爆炸防御
skilldescription_3100007_13|攻击目标一次，一段时间内提升自身爆炸防御
skilldescription_3100007_14|攻击目标一次，一段时间内提升自身爆炸防御
skilldescription_3100007_15|攻击目标一次，一段时间内提升自身爆炸防御
skilldescription_3100008_1|攻击目标一次，一段时间内提升自身穿透防御
skilldescription_3100008_2|攻击目标一次，一段时间内提升自身穿透防御
skilldescription_3100008_3|攻击目标一次，一段时间内提升自身穿透防御
skilldescription_3100008_4|攻击目标一次，一段时间内提升自身穿透防御
skilldescription_3100008_5|攻击目标一次，一段时间内提升自身穿透防御
skilldescription_3100008_6|攻击目标一次，一段时间内提升自身穿透防御
skilldescription_3100008_7|攻击目标一次，一段时间内提升自身穿透防御
skilldescription_3100008_8|攻击目标一次，一段时间内提升自身穿透防御
skilldescription_3100008_9|攻击目标一次，一段时间内提升自身穿透防御
skilldescription_3100008_10|攻击目标一次，一段时间内提升自身穿透防御
skilldescription_3100008_11|攻击目标一次，一段时间内提升自身穿透防御
skilldescription_3100008_12|攻击目标一次，一段时间内提升自身穿透防御
skilldescription_3100008_13|攻击目标一次，一段时间内提升自身穿透防御
skilldescription_3100008_14|攻击目标一次，一段时间内提升自身穿透防御
skilldescription_3100008_15|攻击目标一次，一段时间内提升自身穿透防御
skilldescription_3100009_1|攻击目标一次，一段时间内提升自身燃烧防御
skilldescription_3100009_2|攻击目标一次，一段时间内提升自身燃烧防御
skilldescription_3100009_3|攻击目标一次，一段时间内提升自身燃烧防御
skilldescription_3100009_4|攻击目标一次，一段时间内提升自身燃烧防御
skilldescription_3100009_5|攻击目标一次，一段时间内提升自身燃烧防御
skilldescription_3100009_6|攻击目标一次，一段时间内提升自身燃烧防御
skilldescription_3100009_7|攻击目标一次，一段时间内提升自身燃烧防御
skilldescription_3100009_8|攻击目标一次，一段时间内提升自身燃烧防御
skilldescription_3100009_9|攻击目标一次，一段时间内提升自身燃烧防御
skilldescription_3100009_10|攻击目标一次，一段时间内提升自身燃烧防御
skilldescription_3100009_11|攻击目标一次，一段时间内提升自身燃烧防御
skilldescription_3100009_12|攻击目标一次，一段时间内提升自身燃烧防御
skilldescription_3100009_13|攻击目标一次，一段时间内提升自身燃烧防御
skilldescription_3100009_14|攻击目标一次，一段时间内提升自身燃烧防御
skilldescription_3100009_15|攻击目标一次，一段时间内提升自身燃烧防御
skilldescription_3100010_1|攻击目标一次，一段时间内提升自身防御
skilldescription_3100010_2|攻击目标一次，一段时间内提升自身防御
skilldescription_3100010_3|攻击目标一次，一段时间内提升自身防御
skilldescription_3100010_4|攻击目标一次，一段时间内提升自身防御
skilldescription_3100010_5|攻击目标一次，一段时间内提升自身防御
skilldescription_3100010_6|攻击目标一次，一段时间内提升自身防御
skilldescription_3100010_7|攻击目标一次，一段时间内提升自身防御
